Emilio;Steven;steven.emilio@etucergy.com;c877e3b18368f279da284225be6c3f5793b5f624f2ba11da4e3f4408293d8518;2003-03-03;L2-MI;G1;5eaf6723b69b4;http://etu-cergy.alwaysdata.net/src/files/steven.emilio@etucergy.com.png;
Thiers;Steven;steven.thiers@etucergy.com;ffde1dc957e852c0430642aae908d816794853b598a55015328dfaa89be224d9;1997-06-28;LP-RS;G1;5eaf6723b9888;http://etu-cergy.alwaysdata.net/src/files/steven.thiers@etucergy.com.png;
Thiers;Victor;victor.thiers@etucergy.com;e8c27c1d1712fa2d4efb3d7b2f4d2efe147acffb0fbe0d364b10050469f40144;2001-08-28;L2-MI;G2;5eaf6723bb7bd;http://etu-cergy.alwaysdata.net/src/files/victor.thiers@etucergy.com.png;
Barrier;Joel;joel.barrier@etucergy.com;a0e86c774ec0c5d8ff828a211ebb3358f3f512e5526a18e48617a6e432cde2f3;1995-05-18;L1-MIPI;G1;5eaf6723bd6f2;http://etu-cergy.alwaysdata.net/src/files/joel.barrier@etucergy.com.png;
Calvet;Valerie;valerie.calvet@etucergy.com;7917f549d281c39908c46ec0e6fc511927c77c16bda680e20f732a9786849656;2001-03-08;L2-MI;G2;5eaf6723be68c;http://etu-cergy.alwaysdata.net/src/files/valerie.calvet@etucergy.com.png;
Moss;Charles;charles.moss@etucergy.com;158c23d644c424c6d828b8fe64ad04b157725ac737924369e6f155408ef160b3;2003-05-29;LP-RS;G2;5eaf6723c05d3;http://etu-cergy.alwaysdata.net/src/files/charles.moss@etucergy.com.png;
Abou;Jean-Francois;jean-francois.abou@etucergy.com;1382c04eb102e111e17a607431fe45a355fa1cf296d671598604e00738fed082;1998-09-15;LP-RS;G2;5eaf6723c24f8;http://etu-cergy.alwaysdata.net/src/files/jean-francois.abou@etucergy.com.png;
Grevy;Theophane;theophane.grevy@etucergy.com;c8337fe1573391afc24595a07e893192f9a69c472899498ef30c9b80e4e4252b;2000-05-06;L2-MI;G2;5eaf6723c4437;http://etu-cergy.alwaysdata.net/src/files/theophane.grevy@etucergy.com.png;
Calvet;Robert;robert.calvet@etucergy.com;1f0cf5d62c0102e4b7f55e9d33d6c5d604b298505dbef6118e9f838d2351926c;1997-02-15;LP-RS;G2;5eaf6723c53e9;http://etu-cergy.alwaysdata.net/src/files/robert.calvet@etucergy.com.png;
Takfarinas;Robin;robin.takfarinas@etucergy.com;3b007f5b6770496b64a50c0de3b14200dcf1f6786981fea8b15d480e53a35b26;1995-01-24;L2-MI;G2;5eaf6723c72fc;http://etu-cergy.alwaysdata.net/src/files/robin.takfarinas@etucergy.com.png;
Serina;Amir;amir.serina@etucergy.com;f3af7fa8393430a35cb7300ff29f3b91c9a92598661a85d20feb4dc80d9d3cf9;2001-11-13;L1-MIPI;G2;5eaf6723c9253;http://etu-cergy.alwaysdata.net/src/files/amir.serina@etucergy.com.png;
Rosny;Bob;bob.rosny@etucergy.com;7ccb86d7387a532d3a833db8b27ba42777df6e43f495aad45eb897c0549400a4;2003-09-26;L1-MIPI;G1;5eaf6723cb169;http://etu-cergy.alwaysdata.net/src/files/bob.rosny@etucergy.com.png;
Bourvil;Cheikh;cheikh.bourvil@etucergy.com;48948e07e650a00097b71b42999b6a54b9ec29510990ad45713387c7b55cb36d;1997-05-09;L1-MIPI;G2;5eaf6723cd09e;http://etu-cergy.alwaysdata.net/src/files/cheikh.bourvil@etucergy.com.png;
Doumergue;Caroline;caroline.doumergue@etucergy.com;3876f62f85de1c55629db5d1b6aea05e2fafc581b6b1f839135123be97b80da0;1997-09-17;L2-MI;G2;5eaf6723cefd2;http://etu-cergy.alwaysdata.net/src/files/caroline.doumergue@etucergy.com.png;
Drucker;Rayan;rayan.drucker@etucergy.com;2d788fbe16ef9e3a5fe5ca21bfc802cf68f3a9c367f984f7922ffd01e0bf785f;1996-10-29;L2-MI;G2;5eaf6723cff6c;http://etu-cergy.alwaysdata.net/src/files/rayan.drucker@etucergy.com.png;
Doumer;Adenour;adenour.doumer@etucergy.com;35a4ccbc2cb37a411b1b5e966f94fd21d1c66ebeaa21d36f1d5a2d730395c0de;1995-05-15;LPI-RIWS;G1;5eaf6724d1ea2;http://etu-cergy.alwaysdata.net/src/files/adenour.doumer@etucergy.com.png;
Marley;Jose;jose.marley@etucergy.com;7006dda4ba99130a86d1d189e44879de24cda913feeadbab070949307a473717;2001-10-16;L1-MIPI;G2;5eaf6724d3dd7;http://etu-cergy.alwaysdata.net/src/files/jose.marley@etucergy.com.png;
Meyer;Louis;louis.meyer@etucergy.com;0e8e8e2f17a92a6442b0915d84d291a2628f82a88876bb43a06ed82a33da1179;1997-02-17;LP-RS;G1;5eaf6724d5d0c;http://etu-cergy.alwaysdata.net/src/files/louis.meyer@etucergy.com.png;
Ariols;Emmanuel;emmanuel.ariols@etucergy.com;506fd9f8ed62c5e4b316ec4e72caf162dcd3013f3b8a1752bc7b24540f66ba4e;1997-06-05;L1-MIPI;G1;5eaf6724d7c44;http://etu-cergy.alwaysdata.net/src/files/emmanuel.ariols@etucergy.com.png;
